	SPU_peptide	diadema.best
OG0005900	SPU_011933	TRINITY_DN55590_c0_g1_i2.p1.p1
OG0005901	SPU_004708	TRINITY_DN219942_c0_g1_i1.p1.p1
OG0005902	SPU_015763	TRINITY_DN1536_c1_g1_i2.p1.p1
OG0005903	SPU_023782	TRINITY_DN913_c0_g1_i13.p1.p1
OG0005904	SPU_026099	TRINITY_DN13822_c0_g1_i1.p1.p1
OG0005905	SPU_002998	TRINITY_DN5909_c0_g1_i5.p1.p1
OG0005906	SPU_002329	TRINITY_DN16939_c1_g1_i4.p1.p1
OG0005907	SPU_028521	TRINITY_DN17669_c0_g1_i10.p1.p1
OG0005908	SPU_006159	TRINITY_DN296861_c0_g1_i1.p1.p2
OG0005909	SPU_014962	TRINITY_DN4466_c0_g1_i2.p1.p1
OG0005910	SPU_015691	TRINITY_DN17119_c0_g1_i1.p1.p1
OG0005911	SPU_007672	TRINITY_DN312_c0_g1_i2.p2.p1
OG0005912	SPU_008466	TRINITY_DN4278_c0_g1_i7.p1.p1
OG0005913	SPU_019586	TRINITY_DN2585_c1_g1_i2.p1.p1
OG0005914	SPU_018123	TRINITY_DN37133_c0_g1_i4.p1.p1
OG0005915	SPU_025413	TRINITY_DN147284_c0_g1_i2.p1.p1
OG0005916	SPU_012583	TRINITY_DN9968_c0_g1_i1.p1.p1
OG0005917	SPU_003835	TRINITY_DN12069_c0_g1_i2.p1.p1
OG0005918	SPU_005358	TRINITY_DN5863_c3_g1_i1.p1.p1
OG0005919	SPU_006871	TRINITY_DN6356_c0_g1_i12.p1.p1
OG0005920	SPU_008394	TRINITY_DN103499_c0_g1_i1.p1.p1
OG0005921	SPU_022974	TRINITY_DN29634_c0_g1_i7.p1.p1
OG0005922	SPU_019579	TRINITY_DN20315_c0_g1_i3.p1.p1
OG0005923	SPU_022240	TRINITY_DN19570_c0_g1_i6.p1.p1
OG0005924	SPU_023034	TRINITY_DN24384_c0_g1_i9.p1.p1
OG0005925	SPU_026135	TRINITY_DN5290_c0_g1_i6.p1.p1
OG0005926	SPU_004557	TRINITY_DN21115_c0_g1_i1.p1.p1
OG0005927	SPU_007658	TRINITY_DN148434_c0_g1_i1.p1.p1
OG0005928	SPU_021504	TRINITY_DN5874_c0_g1_i1.p1.p1
OG0005929	SPU_000590	TRINITY_DN2091_c1_g2_i5.p1.p1
OG0005930	SPU_023027	TRINITY_DN18337_c0_g1_i1.p1.p1
OG0005931	SPU_024540	TRINITY_DN30633_c0_g1_i4.p1.p1
OG0005932	SPU_008502	TRINITY_DN6989_c0_g1_i3.p1.p1
OG0005933	SPU_024605	TRINITY_DN6158_c0_g1_i11.p1.p1
OG0005934	SPU_010197	TRINITY_DN2509_c0_g1_i7.p1.p1
OG0005935	SPU_018109	TRINITY_DN8767_c0_g1_i5.p1.p1
OG0005936	SPU_003691	TRINITY_DN93522_c0_g1_i1.p1.p1
OG0005937	SPU_004485	TRINITY_DN5838_c0_g1_i5.p1.p1
OG0005938	SPU_013298	TRINITY_DN15491_c0_g1_i2.p1.p1
OG0005939	SPU_014876	TRINITY_DN190036_c0_g1_i1.p1.p1
OG0005940	SPU_023689	TRINITY_DN55664_c0_g1_i1.p1.p1
OG0005941	SPU_010312	TRINITY_DN33520_c0_g1_i6.p1.p1
OG0005942	SPU_011106	TRINITY_DN6604_c0_g2_i1.p1.p1
OG0005943	SPU_022161	TRINITY_DN54899_c0_g1_i1.p1.p1
OG0005944	SPU_006123	TRINITY_DN47744_c0_g1_i3.p1.p1
OG0005945	SPU_016514	TRINITY_DN3050_c0_g1_i6.p1.p1
OG0005946	SPU_019550	TRINITY_DN6004_c0_g1_i2.p1.p1
OG0005947	SPU_026905	TRINITY_DN25299_c0_g1_i1.p1.p1
OG0005948	SPU_027634	TRINITY_DN72309_c0_g1_i1.p1.p1
OG0005949	SPU_011768	TRINITY_DN96285_c0_g1_i2.p1.p1
OG0005950	SPU_003749	TRINITY_DN43123_c0_g1_i2.p1.p1
OG0005951	SPU_005991	TRINITY_DN17221_c0_g1_i1.p1.p1
OG0005952	SPU_022888	TRINITY_DN3044_c0_g1_i8.p1.p1
OG0005953	SPU_014869	TRINITY_DN2236_c0_g1_i3.p1.p1
OG0005954	SPU_025989	TRINITY_DN183_c1_g1_i3.p1.p1
OG0005955	SPU_011034	TRINITY_DN3650_c1_g1_i5.p1.p1
OG0005956	SPU_020631	TRINITY_DN17921_c0_g1_i3.p1.p1
OG0005957	SPU_022154	TRINITY_DN144309_c0_g1_i3.p1.p1
OG0005958	SPU_006900	TRINITY_DN623_c0_g1_i8.p1.p1
OG0005959	SPU_024526	TRINITY_DN5352_c0_g1_i3.p1.p1
OG0005960	SPU_026049	TRINITY_DN4250_c0_g1_i7.p1.p1
OG0005961	SPU_027562	TRINITY_DN5251_c0_g1_i1.p1.p1
OG0005962	SPU_002214	TRINITY_DN6864_c0_g1_i8.p1.p1
OG0005963	SPU_006044	TRINITY_DN387_c0_g1_i10.p1.p1
OG0005964	SPU_020624	TRINITY_DN2795_c0_g1_i5.p5.p1
OG0005965	SPU_012605	TRINITY_DN2612_c0_g1_i2.p1.p1
OG0005966	SPU_023660	TRINITY_DN16519_c0_g1_i6.p1.p1
OG0005967	SPU_015706	TRINITY_DN3620_c2_g1_i7.p1.p1
OG0005968	SPU_019536	TRINITY_DN37812_c0_g1_i2.p1.p1
OG0005969	SPU_005977	TRINITY_DN13951_c0_g1_i3.p1.p1
OG0005970	SPU_022075	TRINITY_DN90964_c0_g1_i1.p1.p1
OG0005971	SPU_014840	TRINITY_DN77645_c0_g1_i1.p1.p1
OG0005972	SPU_022924	TRINITY_DN9475_c0_g1_i6.p1.p1
OG0005973	SPU_009073	TRINITY_DN3675_c0_g1_i4.p1.p1
OG0005974	SPU_023718	TRINITY_DN17805_c0_g1_i1.p1.p1
OG0005975	SPU_027483	TRINITY_DN1992_c0_g1_i6.p1.p1
OG0005976	SPU_018735	TRINITY_DN118723_c0_g1_i3.p1.p1
OG0005977	SPU_027548	TRINITY_DN18887_c0_g1_i1.p1.p1
OG0005978	SPU_006699	TRINITY_DN274_c0_g1_i1.p1.p1
OG0005979	SPU_002070	TRINITY_DN1532_c0_g1_i1.p1.p1
OG0005980	SPU_005171	TRINITY_DN286110_c0_g1_i1.p1.p1
OG0005981	SPU_011732	TRINITY_DN366877_c0_g1_i1.p1.p1
OG0005982	SPU_004442	TRINITY_DN83787_c0_g1_i1.p2.p1
OG0005983	SPU_021274	TRINITY_DN52327_c0_g1_i3.p1.p1
OG0005984	SPU_006814	TRINITY_DN3464_c0_g1_i3.p1.p1
OG0005985	SPU_009066	TRINITY_DN6478_c0_g1_i10.p1.p1
OG0005986	SPU_009850	TRINITY_DN5522_c0_g1_i4.p1.p1
OG0005987	SPU_025169	TRINITY_DN8361_c0_g1_i6.p1.p1
OG0005988	SPU_025953	TRINITY_DN40374_c0_g1_i3.p1.p1
OG0005989	SPU_019392	TRINITY_DN111_c0_g2_i1.p1.p1
OG0005990	SPU_000540	TRINITY_DN10884_c0_g1_i5.p1.p1
OG0005991	SPU_002128	TRINITY_DN5211_c0_g1_i7.p1.p1
OG0005992	SPU_011725	TRINITY_DN121_c0_g1_i3.p1.p1
OG0005993	SPU_006742	TRINITY_DN5600_c0_g1_i4.p1.p1
OG0005994	SPU_022845	TRINITY_DN2927_c0_g1_i2.p1.p1
OG0005995	SPU_014826	TRINITY_DN29637_c0_g1_i1.p1.p1
OG0005996	SPU_001262	TRINITY_DN5374_c0_g1_i1.p1.p1
OG0005997	SPU_004363	TRINITY_DN78494_c0_g1_i5.p1.p1
OG0005998	SPU_013960	TRINITY_DN18219_c0_g1_i1.p1.p1
OG0005999	SPU_008258	TRINITY_DN7372_c0_g1_i1.p1.p1
OG0006000	SPU_017790	TRINITY_DN260384_c0_g1_i1.p1.p1
OG0006001	SPU_009771	TRINITY_DN468_c0_g1_i7.p1.p1
OG0006002	SPU_018649	TRINITY_DN5146_c0_g1_i5.p1.p1
OG0006003	SPU_014020	TRINITY_DN24891_c0_g1_i7.p1.p1
OG0006004	SPU_025140	TRINITY_DN3426_c2_g1_i7.p1.p1
OG0006005	SPU_001255	TRINITY_DN58762_c0_g1_i1.p1.p1
OG0006006	SPU_013953	TRINITY_DN34729_c0_g1_i5.p1.p1
OG0006007	SPU_007392	TRINITY_DN33719_c0_g1_i2.p1.p1
OG0006008	SPU_006663	TRINITY_DN56992_c0_g1_i1.p1.p1
OG0006009	SPU_014747	TRINITY_DN12855_c0_g1_i3.p1.p1
OG0006010	SPU_008970	TRINITY_DN5442_c0_g1_i2.p1.p1
OG0006011	SPU_021303	TRINITY_DN8498_c0_g1_i2.p1.p1
OG0006012	SPU_001183	TRINITY_DN149196_c0_g1_i1.p2.p1
OG0006013	SPU_003490	TRINITY_DN6809_c0_g2_i1.p1.p1
OG0006014	SPU_011574	TRINITY_DN6389_c0_g1_i1.p1.p1
OG0006015	SPU_028234	TRINITY_DN8004_c0_g2_i3.p1.p1
OG0006016	SPU_012368	TRINITY_DN12761_c1_g1_i1.p1.p1
OG0006017	SPU_016198	TRINITY_DN1778_c0_g1_i3.p1.p1
OG0006018	SPU_028896	TRINITY_DN4045_c0_g1_i5.p1.p1
OG0006019	SPU_009023	TRINITY_DN12964_c0_g1_i1.p1.p1
OG0006020	SPU_024332	TRINITY_DN19959_c0_g1_i1.p1.p1
OG0006021	SPU_025126	TRINITY_DN2958_c0_g1_i8.p1.p1
OG0006022	SPU_017107	TRINITY_DN12725_c0_g1_i7.p1.p1
OG0006023	SPU_018620	TRINITY_DN145427_c0_g1_i1.p1.p1
OG0006024	SPU_010773	TRINITY_DN10754_c3_g1_i2.p1.p1
OG0006025	SPU_012296	TRINITY_DN25376_c0_g1_i1.p1.p1
OG0006026	SPU_003548	TRINITY_DN47319_c0_g1_i3.p1.p1
OG0006027	SPU_002819	TRINITY_DN16092_c0_g1_i1.p1.p1
OG0006028	SPU_022687	TRINITY_DN4007_c0_g1_i9.p1.p1
OG0006029	SPU_024994	TRINITY_DN363271_c0_g1_i1.p1.p1
OG0006030	SPU_018498	TRINITY_DN22669_c0_g1_i3.p1.p1
OG0006031	SPU_013140	TRINITY_DN15359_c0_g1_i8.p1.p1
OG0006032	SPU_023531	TRINITY_DN4812_c0_g1_i8.p1.p1
OG0006033	SPU_024260	TRINITY_DN15372_c0_g1_i2.p1.p1
OG0006034	SPU_024325	TRINITY_DN37291_c0_g1_i5.p1.p1
OG0006035	SPU_025903	TRINITY_DN25832_c0_g1_i2.p1.p1
OG0006036	SPU_028155	TRINITY_DN136757_c0_g1_i2.p1.p2
OG0006037	SPU_019407	TRINITY_DN5863_c13_g1_i1.p1.p1
OG0006038	SPU_014596	TRINITY_DN100300_c0_g1_i1.p1.p1
OG0006039	SPU_008949	TRINITY_DN46445_c0_g1_i5.p1.p1
OG0006040	SPU_010032	TRINITY_DN46447_c0_g1_i1.p1.p1
OG0006041	SPU_008215	TRINITY_DN326_c0_g1_i7.p1.p1
OG0006042	SPU_017028	TRINITY_DN9792_c0_g1_i1.p1.p1
OG0006043	SPU_026625	TRINITY_DN31238_c0_g1_i2.p1.p1
OG0006044	SPU_028148	TRINITY_DN23157_c0_g1_i2.p2.p1
OG0006045	SPU_011603	TRINITY_DN19896_c0_g1_i11.p1.p1
OG0006046	SPU_005107	TRINITY_DN7787_c0_g3_i1.p1.p1
OG0006047	SPU_013910	TRINITY_DN51538_c0_g1_i2.p1.p1
OG0006048	SPU_000296	TRINITY_DN7522_c1_g1_i1.p1.p1
OG0006049	SPU_023517	TRINITY_DN13719_c0_g1_i1.p1.p1
OG0006050	SPU_001874	TRINITY_DN282249_c0_g1_i1.p1.p1
OG0006051	SPU_010687	TRINITY_DN10093_c0_g1_i3.p1.p1
OG0006052	SPU_001939	TRINITY_DN49198_c0_g1_i4.p1.p1
OG0006053	SPU_026618	TRINITY_DN6470_c0_g1_i2.p1.p1
OG0006054	SPU_004975	TRINITY_DN35517_c0_g1_i3.p1.p1
OG0006055	SPU_013788	TRINITY_DN41738_c0_g1_i1.p1.p1
OG0006056	SPU_011531	TRINITY_DN34234_c0_g1_i2.p1.p1
OG0006057	SPU_015361	TRINITY_DN35340_c0_g1_i2.p1.p1
OG0006058	SPU_022651	TRINITY_DN27087_c0_g1_i4.p1.p1
OG0006059	SPU_016090	TRINITY_DN45341_c0_g1_i4.p1.p1
OG0006060	SPU_007407	TRINITY_DN36290_c0_g1_i1.p1.p1
OG0006061	SPU_017733	TRINITY_DN7306_c0_g1_i2.p1.p1
OG0006062	SPU_025817	TRINITY_DN20813_c0_g1_i1.p1.p1
OG0006063	SPU_010730	TRINITY_DN3765_c0_g1_i4.p1.p1
OG0006064	SPU_012253	TRINITY_DN13035_c0_g1_i1.p1.p1
OG0006065	SPU_013047	TRINITY_DN21867_c0_g1_i4.p1.p1
OG0006066	SPU_012318	TRINITY_DN227319_c0_g1_i1.p1.p1
OG0006067	SPU_007270	TRINITY_DN178221_c1_g1_i5.p1.p1
OG0006068	SPU_014625	TRINITY_DN3296_c0_g1_i2.p1.p1
OG0006069	SPU_017661	TRINITY_DN2663_c0_g1_i4.p1.p1
OG0006070	SPU_017726	TRINITY_DN3507_c0_g2_i2.p1.p1
OG0006071	SPU_019184	TRINITY_DN1066_c0_g1_i2.p1.p1
OG0006072	SPU_002589	TRINITY_DN31692_c0_g1_i2.p1.p1
OG0006073	SPU_014553	TRINITY_DN8405_c0_g1_i5.p1.p1
OG0006074	SPU_021843	TRINITY_DN66421_c0_g1_i6.p1.p1
OG0006075	SPU_023366	TRINITY_DN9097_c0_g1_i2.p1.p1
OG0006076	SPU_024095	TRINITY_DN6426_c1_g1_i1.p1.p1
OG0006077	SPU_008906	TRINITY_DN22841_c0_g1_i4.p1.p1
OG0006078	SPU_001788	TRINITY_DN555_c0_g1_i7.p1.p1
OG0006079	SPU_019177	TRINITY_DN18201_c0_g1_i4.p1.p1
OG0006080	SPU_028774	TRINITY_DN10794_c0_g1_i6.p1.p1
OG0006081	SPU_030231	TRINITY_DN1131_c1_g2_i3.p1.p1
OG0006082	SPU_001119	TRINITY_DN852_c0_g1_i1.p1.p1
OG0006083	SPU_002632	TRINITY_DN73848_c0_g1_i1.p1.p1
OG0006084	SPU_010651	TRINITY_DN27745_c0_g1_i6.p1.p1
OG0006085	SPU_028105	TRINITY_DN14107_c0_g1_i4.p1.p1
OG0006086	SPU_012239	TRINITY_DN11702_c0_g1_i8.p1.p1
OG0006087	SPU_006462	TRINITY_DN36726_c0_g1_i5.p1.p1
OG0006088	SPU_021836	TRINITY_DN4580_c0_g1_i4.p1.p1
OG0006089	SPU_009628	TRINITY_DN145630_c0_g1_i2.p1.p1
OG0006090	SPU_017647	TRINITY_DN326556_c0_g1_i1.p1.p1
OG0006091	SPU_026395	TRINITY_DN10487_c0_g1_i4.p1.p1
OG0006092	SPU_000253	TRINITY_DN46157_c0_g1_i5.p1.p1
OG0006093	SPU_001831	TRINITY_DN1557_c0_g1_i7.p1.p1
OG0006094	SPU_026510	TRINITY_DN35119_c0_g1_i3.p1.p1
OG0006095	SPU_010644	TRINITY_DN64396_c0_g1_i2.p1.p1
OG0006096	SPU_028033	TRINITY_DN3539_c0_g1_i4.p2.p1
OG0006097	SPU_027304	TRINITY_DN19109_c0_g1_i2.p1.p1
OG0006098	SPU_020970	TRINITY_DN29761_c0_g1_i2.p1.p1
OG0006099	SPU_005661	TRINITY_DN13013_c0_g1_i1.p1.p1
OG0006100	SPU_023287	TRINITY_DN22786_c1_g1_i2.p1.p1
OG0006101	SPU_018369	TRINITY_DN18174_c0_g1_i4.p1.p1
OG0006102	SPU_027966	TRINITY_DN7376_c0_g1_i5.p1.p1
OG0006103	SPU_023402	TRINITY_DN11422_c0_g1_i1.p1.p1
OG0006104	SPU_002553	TRINITY_DN1787_c0_g1_i3.p1.p1
OG0006105	SPU_002618	TRINITY_DN13468_c0_g1_i1.p1.p1
OG0006106	SPU_012095	TRINITY_DN3696_c0_g1_i1.p1.p1
OG0006107	SPU_004860	TRINITY_DN1118_c0_g1_i3.p1.p1
OG0006108	SPU_006383	TRINITY_DN3730_c0_g1_i4.p1.p1
OG0006109	SPU_019875	TRINITY_DN190_c2_g1_i3.p1.p1
OG0006110	SPU_023330	TRINITY_DN8870_c0_g1_i2.p1.p1
OG0006111	SPU_001752	TRINITY_DN3808_c0_g1_i1.p1.p1
OG0006112	SPU_002481	TRINITY_DN13978_c0_g1_i6.p1.p1
OG0006113	SPU_019141	TRINITY_DN1137_c0_g1_i2.p1.p1
OG0006114	SPU_025702	TRINITY_DN6394_c0_g1_i2.p2.p1
OG0006115	SPU_001817	TRINITY_DN974_c0_g1_i6.p1.p1
OG0006116	SPU_002546	TRINITY_DN4610_c0_g1_i6.p1.p1
OG0006117	SPU_019206	TRINITY_DN9595_c0_g1_i1.p1.p1
OG0006118	SPU_004069	TRINITY_DN8486_c0_g1_i8.p1.p1
OG0006119	SPU_022479	TRINITY_DN28891_c1_g2_i2.p1.p1
OG0006120	SPU_008683	TRINITY_DN76031_c0_g1_i1.p1.p1
OG0006121	SPU_016767	TRINITY_DN2445_c0_g1_i2.p1.p1
OG0006122	SPU_012203	TRINITY_DN2539_c0_g1_i2.p1.p1
OG0006123	SPU_021800	TRINITY_DN10153_c0_g1_i3.p1.p1
OG0006124	SPU_015304	TRINITY_DN73405_c0_g1_i2.p1.p1
OG0006125	SPU_023323	TRINITY_DN9545_c0_g1_i2.p1.p1
OG0006126	SPU_000167	TRINITY_DN13280_c0_g1_i2.p1.p1
OG0006127	SPU_000951	TRINITY_DN95728_c0_g1_i1.p1.p1
OG0006128	SPU_027218	TRINITY_DN15541_c0_g1_i3.p1.p1
OG0006129	SPU_007882	TRINITY_DN4531_c0_g1_i3.p1.p1
OG0006130	SPU_015966	TRINITY_DN819_c0_g1_i12.p1.p1
OG0006131	SPU_009520	TRINITY_DN102_c1_g1_i3.p1.p1
OG0006132	SPU_017604	TRINITY_DN309_c1_g1_i3.p1.p1
OG0006133	SPU_018333	TRINITY_DN24072_c0_g1_i4.p1.p1
OG0006134	SPU_027146	TRINITY_DN1267_c0_g1_i3.p1.p1
OG0006135	SPU_019127	TRINITY_DN141432_c0_g1_i1.p1.p1
OG0006136	SPU_012793	TRINITY_DN2242_c0_g1_i9.p1.p1
OG0006137	SPU_028724	TRINITY_DN35729_c0_g1_i2.p1.p1
OG0006138	SPU_012858	TRINITY_DN38406_c0_g1_i2.p1.p1
OG0006139	SPU_015894	TRINITY_DN9970_c0_g1_i5.p1.p1
OG0006140	SPU_008669	TRINITY_DN8988_c0_g1_i3.p1.p1
OG0006141	SPU_015959	TRINITY_DN1459_c0_g1_i7.p1.p1
OG0006142	SPU_000210	TRINITY_DN3564_c0_g1_i1.p1.p1
OG0006143	SPU_020143	TRINITY_DN1088_c1_g1_i2.p1.p1
OG0006144	SPU_023309	TRINITY_DN6737_c0_g1_i2.p1.p1
OG0006145	SPU_026280	TRINITY_DN12991_c0_g1_i5.p1.p1
OG0006146	SPU_000937	TRINITY_DN62078_c0_g1_i1.p1.p1
OG0006147	SPU_018326	TRINITY_DN12505_c0_g1_i1.p1.p1
OG0006148	SPU_027923	TRINITY_DN65015_c0_g1_i1.p1.p1
OG0006149	SPU_021599	TRINITY_DN7088_c0_g1_i1.p1.p1
OG0006150	SPU_002510	TRINITY_DN1277_c0_g1_i3.p1.p1
OG0006151	SPU_020920	TRINITY_DN7524_c0_g2_i2.p1.p1
OG0006152	SPU_006405	TRINITY_DN10903_c0_g1_i2.p1.p1
OG0006153	SPU_023237	TRINITY_DN11921_c0_g1_i5.p1.p1
OG0006154	SPU_009441	TRINITY_DN22300_c0_g1_i5.p1.p1
OG0006155	SPU_018254	TRINITY_DN11589_c0_g1_i6.p2.p1
OG0006156	SPU_026338	TRINITY_DN2947_c0_g1_i2.p1.p1
OG0006157	SPU_012779	TRINITY_DN7714_c1_g1_i9.p1.p1
OG0006158	SPU_003232	TRINITY_DN96872_c0_g1_i1.p1.p1
OG0006159	SPU_006333	TRINITY_DN26143_c0_g1_i4.p1.p1
OG0006160	SPU_022371	TRINITY_DN82983_c0_g1_i1.p1.p1
OG0006161	SPU_000793	TRINITY_DN25630_c0_g1_i5.p1.p1
OG0006162	SPU_009434	TRINITY_DN17201_c0_g1_i3.p1.p1
OG0006163	SPU_028573	TRINITY_DN9140_c0_g1_i3.p1.p1
OG0006164	SPU_002431	TRINITY_DN4343_c0_g1_i1.p1.p1
OG0006165	SPU_001702	TRINITY_DN163892_c0_g1_i1.p1.p1
OG0006166	SPU_006261	TRINITY_DN22851_c0_g1_i4.p1.p1
OG0006167	SPU_013551	TRINITY_DN25172_c0_g1_i1.p1.p1
OG0006168	SPU_015139	TRINITY_DN156307_c0_g1_i1.p1.p1
OG0006169	SPU_015923	TRINITY_DN15275_c0_g1_i4.p1.p1
OG0006170	SPU_000786	TRINITY_DN27590_c0_g1_i4.p1.p1
OG0006171	SPU_000052	TRINITY_DN10054_c0_g1_i1.p1.p1
OG0006172	SPU_000117	TRINITY_DN58449_c0_g1_i2.p1.p1
OG0006173	SPU_013544	TRINITY_DN23603_c0_g1_i4.p1.p1
OG0006174	SPU_015067	TRINITY_DN21720_c0_g1_i2.p1.p1
OG0006175	SPU_021628	TRINITY_DN6654_c0_g1_i12.p1.p1
OG0006176	SPU_022357	TRINITY_DN8804_c0_g1_i2.p1.p1
OG0006177	SPU_017374	TRINITY_DN747_c1_g1_i1.p1.p1
OG0006178	SPU_010371	TRINITY_DN57136_c0_g1_i7.p1.p1
OG0006179	SPU_019012	TRINITY_DN5581_c1_g1_i2.p1.p1
OG0006180	SPU_003930	TRINITY_DN19796_c0_g1_i4.p1.p1
OG0006181	SPU_012743	TRINITY_DN18937_c0_g1_i10.p1.p1
OG0006182	SPU_007825	TRINITY_DN51_c0_g1_i4.p1.p1
OG0006183	SPU_008554	TRINITY_DN4157_c0_g1_i1.p1.p1
OG0006184	SPU_009348	TRINITY_DN309_c2_g1_i1.p1.p1
OG0006185	SPU_024657	TRINITY_DN431_c0_g1_i1.p1.p1
OG0006186	SPU_023928	TRINITY_DN6932_c0_g1_i3.p1.p1
OG0006187	SPU_015909	TRINITY_DN6099_c0_g1_i6.p1.p1
OG0006188	SPU_027693	TRINITY_DN14794_c0_g1_i6.p1.p1
OG0006189	SPU_002280	TRINITY_DN68186_c0_g1_i1.p1.p1
OG0006190	SPU_011093	TRINITY_DN4808_c0_g1_i6.p1.p1
OG0006191	SPU_010429	TRINITY_DN18446_c0_g1_i5.p1.p1
OG0006192	SPU_003923	TRINITY_DN9846_c0_g1_i3.p1.p1
OG0006193	SPU_004717	TRINITY_DN2461_c0_g1_i1.p1.p1
OG0006194	SPU_015772	TRINITY_DN10872_c0_g1_i2.p1.p1
OG0006195	SPU_023791	TRINITY_DN28601_c0_g1_i13.p1.p1
OG0006196	SPU_026892	TRINITY_DN9731_c0_g1_i1.p1.p1
OG0006197	SPU_018204	TRINITY_DN5602_c0_g1_i2.p1.p1
OG0006198	SPU_002338	TRINITY_DN1656_c0_g1_i3.p1.p1
OG0006199	SPU_005439	TRINITY_DN8725_c0_g2_i1.p1.p1
OG0006200	SPU_016494	TRINITY_DN14606_c0_g1_i7.p1.p1
OG0006201	SPU_015765	TRINITY_DN26901_c0_g1_i5.p1.p1
OG0006202	SPU_009269	TRINITY_DN5240_c0_g1_i6.p1.p1
OG0006203	SPU_018866	TRINITY_DN111298_c0_g1_i1.p1.p1
OG0006204	SPU_015031	TRINITY_DN83638_c0_g1_i1.p1.p1
OG0006205	SPU_023115	TRINITY_DN16397_c0_g1_i4.p1.p1
OG0006206	SPU_018132	TRINITY_DN21065_c0_g1_i1.p1.p1
OG0006207	SPU_010285	TRINITY_DN929_c0_g2_i1.p1.p1
OG0006208	SPU_026216	TRINITY_DN33253_c0_g1_i3.p1.p1
OG0006209	SPU_019710	TRINITY_DN84342_c0_g1_i2.p1.p1
OG0006210	SPU_003844	TRINITY_DN30891_c1_g1_i1.p1.p1
OG0006211	SPU_011928	TRINITY_DN227616_c0_g1_i2.p1.p1
OG0006212	SPU_006096	TRINITY_DN5260_c0_g1_i4.p1.p1
OG0006213	SPU_003110	TRINITY_DN1351_c0_g1_i4.p1.p1
OG0006214	SPU_013501	TRINITY_DN15790_c0_g1_i4.p1.p1
OG0006215	SPU_002194	TRINITY_DN4254_c0_g1_i7.p1.p1
OG0006216	SPU_028451	TRINITY_DN19180_c0_g1_i1.p1.p1
OG0006217	SPU_020669	TRINITY_DN17565_c0_g1_i1.p1.p1
OG0006218	SPU_022976	TRINITY_DN2428_c17_g1_i2.p1.p1
OG0006219	SPU_006938	TRINITY_DN24704_c0_g1_i1.p1.p1
OG0006220	SPU_003103	TRINITY_DN31783_c0_g1_i2.p1.p1
OG0006221	SPU_022242	TRINITY_DN4936_c0_g1_i4.p1.p1
OG0006222	SPU_026072	TRINITY_DN13435_c0_g1_i1.p1.p1
OG0006223	SPU_009305	TRINITY_DN2438_c0_g1_i8.p2.p1
OG0006224	SPU_026137	TRINITY_DN244_c0_g1_i7.p1.p1
OG0006225	SPU_011784	TRINITY_DN260743_c0_g1_i3.p1.p1
OG0006226	SPU_005288	TRINITY_DN13875_c0_g1_i6.p1.p1
OG0006227	SPU_007595	TRINITY_DN8015_c0_g1_i4.p1.p1
OG0006228	SPU_008389	TRINITY_DN22270_c0_g1_i3.p1.p1
OG0006229	SPU_006132	TRINITY_DN97031_c0_g1_i3.p1.p1
OG0006230	SPU_023813	TRINITY_DN15758_c1_g1_i3.p1.p1
OG0006231	SPU_016523	TRINITY_DN4109_c1_g1_i7.p1.p1
OG0006232	SPU_008504	TRINITY_DN1489_c2_g1_i3.p1.p1
OG0006233	SPU_018046	TRINITY_DN29612_c0_g1_i2.p1.p1
OG0006234	SPU_019624	TRINITY_DN46891_c0_g1_i4.p1.p1
OG0006235	SPU_006794	TRINITY_DN6468_c0_g1_i15.p1.p1
OG0006236	SPU_006859	TRINITY_DN7699_c0_g1_i4.p1.p1
OG0006237	SPU_022163	TRINITY_DN2301_c1_g1_i8.p1.p1
OG0006238	SPU_006125	TRINITY_DN53486_c0_g1_i3.p1.p1
OG0006239	SPU_024535	TRINITY_DN4525_c0_g1_i1.p1.p1
OG0006240	SPU_018823	TRINITY_DN12836_c0_g1_i1.p1.p1
OG0006241	SPU_026907	TRINITY_DN4753_c0_g1_i1.p1.p1
OG0006242	SPU_006787	TRINITY_DN42947_c0_g1_i4.p1.p1
OG0006243	SPU_006118	TRINITY_DN10158_c0_g1_i2.p1.p1
OG0006244	SPU_022940	TRINITY_DN111299_c0_g1_i1.p1.p1
OG0006245	SPU_002885	TRINITY_DN6041_c0_g1_i2.p1.p1
OG0006246	SPU_011029	TRINITY_DN2743_c0_g1_i6.p2.p1
OG0006247	SPU_021290	TRINITY_DN269050_c0_g1_i1.p1.p1
OG0006248	SPU_005252	TRINITY_DN54754_c0_g1_i1.p1.p1
OG0006249	SPU_012607	TRINITY_DN411045_c0_g1_i1.p1.p1
OG0006250	SPU_014914	TRINITY_DN15222_c2_g1_i1.p1.p1
OG0006251	SPU_008353	TRINITY_DN48118_c0_g1_i3.p1.p1
OG0006252	SPU_023727	TRINITY_DN11352_c2_g1_i1.p1.p1
OG0006253	SPU_015708	TRINITY_DN379487_c0_g1_i1.p1.p1
OG0006254	SPU_025185	TRINITY_DN46751_c0_g1_i8.p1.p1
OG0006255	SPU_026763	TRINITY_DN15383_c0_g1_i4.p1.p1
OG0006256	SPU_018744	TRINITY_DN18041_c0_g1_i3.p1.p1
OG0006257	SPU_018010	TRINITY_DN13873_c0_g1_i1.p1.p1
OG0006258	SPU_012470	TRINITY_DN9655_c1_g1_i4.p1.p1
